asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt,
B0C2N7MX16,"2 Pack Sugar Free Collagen Gummies for Women & Men | Hydrolyzed Collagen Peptides for Hair Skin & Nails | MultiCollagen Protein Type I II III V X with Biotin & Vitamin C | Strawberry Flavor, 120 Count",$24.88,4.5,836,China,Health & Household,13528,Collagen Supplements,128,,,2,1,FBA,"$50,801.06","2,358",https://www.amazon.com/dp/B0C2N7MX16,https://m.media-amazon.com/images/I/71-pS4s4a3L._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.054Z,144
B07ML4NPFN,"Natural Factors Total Body Collagen - Bioactive Collagen Supplement for Hair & Nail Growth Support - Healthy Skin Supplement with Protein, Vitamin C & More - Unflavored, 500 g (38 Servings)",$34.97,4.6,1500,USA,Health & Household,18386,Collagen Supplements,198,,,3,2,FBA,"$60,979.82","1,744",https://www.amazon.com/dp/B07ML4NPFN,https://m.media-amazon.com/images/I/71o3pQMWU+L._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.054Z,145
B0829H2PVC,"Superior Source Keto Collagen - Collagen Protein Powder with MCT Oil - Supports Hair, Skin, Nails & Joint Health - Dairy-Free - Chocolate, 14 oz",$22.32,4.6,735,USA,Health & Household,20714,Collagen Supplements,223,,,1,4,FBA,"$29,575.01","1,368",https://www.amazon.com/dp/B0829H2PVC,https://m.media-amazon.com/images/I/71l3wgbzUgL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.055Z,146
B0DJ737LXP,"Deep Collagen Face Mask Overnight, Bio- Collagen Mask Real Deep Mask, Hydrating Hydrogel Masks with Low Molecular Collagen for Firming, Elasticity, Pore Minimizing 40g x 5ea Valentines Day",$12.79,4.5,291,China,Beauty & Personal Care,21067,Facial Masks,205,,,5,1,FBA,"$32,168.68","2,888",https://www.amazon.com/dp/B0DJ737LXP,https://m.media-amazon.com/images/I/61FeDBM0l6L._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.056Z,147
B0D2S5S6D7,"Micro Ingredients Multi Collagen Peptides Powder, 8oz | Type I, II, III, V, X + Biotin, Vitamin C & Hyaluronic Acid | Unflavored | Supports Hair, Skin & Joint Health | Keto, Non-GMO",$23.95,4.5,15300,USA,Health & Household,549,Collagen Supplements,8,,,3,1,FBA,"$1,275,639.25","32,056",https://www.amazon.com/dp/B0D2S5S6D7,https://m.media-amazon.com/images/I/71cQwOHA8CL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.056Z,148
B000MGOWQU,"NOW Supplements, L-Proline 500 mg, Collagen Production*, Structural Support*, 120 Veg Capsules",$10.69,4.6,1100,Amazon,Health & Household,21944,Blended Vitamin & Mineral Supplements,731,Sales & Deals,1865,3,7,AMZ,"$4,364.36",408,https://www.amazon.com/dp/B000MGOWQU,https://m.media-amazon.com/images/I/71rWxt5x2eL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.057Z,149
B0CC2ZWXLF,"NutraChamps Collagen Boosting Gummies, Collagen Booster Gummy for Natural Collagen Production, Vegan Pectin Supplements Chews for Women & Men, 60 Peach Vitamins Gummies",$16.95,4.5,904,Canada,Health & Household,16176,Collagen Supplements,170,,,2,1,FBA,"$40,708.48","2,082",https://www.amazon.com/dp/B0CC2ZWXLF,https://m.media-amazon.com/images/I/71c7VY57PzL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.058Z,150
B07121K8N9,"Amy Myers MD Collagen Protein Powder - Type 1 & 3 Collagen - Bovine Collagen to Support Healthy Hair, Skin & Nails - Gluten-Free, Dairy-Free & Non-Soy - 16.08 oz (38 Servings)",$49.97,4.4,649,USA,Health & Household,53307,Collagen Supplements,499,,,3,1,FBA,"$20,538.42",411,https://www.amazon.com/dp/B07121K8N9,https://m.media-amazon.com/images/I/51ni5c-WYsL._AC_UL320_.jpg,TRUE,TRUE,3,2026-01-27T16:18:00.058Z,151
B08CS4CTH9,"Bulletproof Unflavored Collagen Peptides Powder, 42.3 Ounces, Grass-Fed Collagen Protein and Amino Acids for Skin, Bones and Joints, Packaging May Vary",$88.95,4.6,13400,USA,Health & Household,2389,Collagen Supplements,25,,,11,1,FBA,"$447,915.87","9,655",https://www.amazon.com/dp/B08CS4CTH9,https://m.media-amazon.com/images/I/61yHsDxmVqL._AC_UL320_.jpg,TRUE,TRUE,3,2026-01-27T16:18:00.059Z,152
B0FPBY81VP,"medicube PDRN Pink Collagen Glow Jelly Serum | Lightweight Water-Jelly For Plump & Supple Skin | Radiance & Elasticity Care with PDRN, Collagen, Niacinamide | Korean Skin Care 1.01 fl.oz",$18.90,4.5,30,USA,Beauty & Personal Care,15386,Facial Serums,388,,,1,1,FBA,"$16,239.28",910,https://www.amazon.com/dp/B0FPBY81VP,https://m.media-amazon.com/images/I/61ll8IngGzL._AC_UL320_.jpg,TRUE,FALSE,4,2026-01-27T16:32:26.444Z,153
