asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0FDNB2DVS","Dr. Berg Maximum Strength Omega-3 Cod Liver Fish Oil (1250 mg) from Wild-Caught Cod - Lemon-Flavored Omega-3 Fish Oil for Women & Men - EPA DHA Supplement – 60 Softgels","$34.99","4.7","325","USA","Health & Household","3672","Fish Oil Nutritional Supplements","8","","","1","1","FBA","$225,436.19","6,443","https://www.amazon.com/dp/B0FDNB2DVS","https://m.media-amazon.com/images/I/71TmERNp86L._AC_UL320_.jpg","false","false","2","2026-01-27T22:56:07.898Z"
"B0F494ZMDJ","Goli Zero Sugar Ashwagandha Gummies with KSM-66, L-Theanine, Maca and Vitamin D - No Sugar Alcohols - Vegan, Keto-Friendly, Non-GMO","$17.97","4.4","786","Amazon","Health & Household","3657","Ashwagandha","10","Digestive Nutritional Supplements","82","3","5","AMZ","$134,682.08","7,250","https://www.amazon.com/dp/B0F494ZMDJ","https://m.media-amazon.com/images/I/81x9mB+2DvL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.898Z"
"B0DVC48CVF","Nature Made Probiotic + Prebiotic Fiber Gummies for Daily Gut Health, Digestive Support Supplement with Probiotics and Fiber, 50 Gummies, 25 Day Supply","$17.98","4.4","1000","Amazon","Health & Household","4454","Dietary Fiber Nutritional Supplements","29","","","3","9","AMZ","$55,507.01","3,087","https://www.amazon.com/dp/B0DVC48CVF","https://m.media-amazon.com/images/I/81wOd45U7XL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.898Z"
"B0FD3MSSYX","Magnesium Glycinate Gummies 400mg, High Absorption Magnesium Supplement for Women, Men and Kids, Muscle Support and Relaxation, Sugar Free, Vegan, 60 Days Supply","$14.99","4.4","556","Unknown","Health & Household","2851","Magnesium Mineral Supplements","71","","","2","2","FBA","$38,923.57","2,430","https://www.amazon.com/dp/B0FD3MSSYX","https://m.media-amazon.com/images/I/71aIXwTMZ2L._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.899Z"
"B0FHLPH2W6","Bloom Creatine Monohydrate Gummies, 5g Per Serving, Sugar Free Creatine Gummy for Workout, Strength, Cognitive Health & Lean Muscle Support, Gluten Free & Non GMO, Berry Boost, 36 Gummies, 12 SVG","$19.99","3.8","263","USA","Health & Household","5097","Creatine Nutritional Supplements","42","","","3","1","FBA","$183,041.50","9,157","https://www.amazon.com/dp/B0FHLPH2W6","https://m.media-amazon.com/images/I/71347TyaCwL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.899Z"
"B0FHH4CCD9","Magnesium Complex 700mg – 12-in-1 Magnesium Supplement with Glycinate, Citrate, Malate, Oxide, Taurate & More – High Absorption for Muscle, Heart, Sleep, Bone, Nerve Support –120 Capsules","$9.99","4.7","1000","USA","Health & Household","3981","Magnesium Mineral Supplements","89","","","1","1","FBA","$116,780.06","11,690","https://www.amazon.com/dp/B0FHH4CCD9","https://m.media-amazon.com/images/I/819caFbPYjL._AC_UL320_.jpg","false","false","2","2026-01-27T22:56:07.899Z"
"B0F9F5JWXW","VEV Vitamin D3 K2 10,000 IU Magnesium Supplement – with Vitamin D and K (MK-7), Magnesium Glycinate & Malate, Zinc Citrate – 300 Softgels for Energy, Bone & Muscle Support","$19.99","4.7","634","USA","Health & Household","3710","Vitamin D Supplements","50","","","2","2","FBA","$187,286.04","7,513","https://www.amazon.com/dp/B0F9F5JWXW","https://m.media-amazon.com/images/I/81fjDRjn7bL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.899Z"
"B0FHHD5M7T","Venture Pal 100% Pure Micronized Creatine Monohydrate Powder, Unflavored Creatine for Women & Men, Vegan, Keto, Gluten Free, 5 g (5000mg) per Serving, Creatina Monohidratada en Polvo","$9.99","4.7","1000","Hong Kong","Health & Household","3760","Creatine Nutritional Supplements","29","","","3","2","FBA","$28,856.70","1,444","https://www.amazon.com/dp/B0FHHD5M7T","https://m.media-amazon.com/images/I/71u70cG0tqL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.900Z"
"B0F55PDR4C","Create Creatine Monohydrate Gummies for Men & Women, Boost Focus, Strength, and Endurance, Anti-Melting Formula, Vegan, Gluten-Free, Non-GMO, 1.5g of Creatine per Gummy (Sour Cherry)","$49.98","4.0","2200","USA","Health & Household","498","Creatine Nutritional Supplements","5","","","6","1","FBA","$2,217,771.12","44,373","https://www.amazon.com/dp/B0F55PDR4C","https://m.media-amazon.com/images/I/81XKI4nkwZL._AC_UL320_.jpg","false","false","2","2026-01-27T22:56:07.900Z"
"B0F4WYMZX2","OLLY Teen Girl Multi Gummy, Healthy Skin and Immune Support*, Essential Vitamins, Biotin, Zinc, Chewable Multivitamin, Strawberry Melon Flavored, 50 Day Supply - 100 Count","","4.4","7100","Unknown","Health & Household","1404","Multiminerals Mineral Supplements","4","","","2","1","AMZ","$225,034.79","18,987","https://www.amazon.com/dp/B0F4WYMZX2","https://m.media-amazon.com/images/I/71i4vIN5G-L._AC_UL320_.jpg","false","false","2","2026-01-27T22:56:07.900Z"
