asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0013OUNK4","NOW Foods Supplements, Vitamin C-1,000 with 100 mg of Bioflavonoids, Antioxidant Protection*, 250 Veg Capsules","$19.59","4.8","10600","Amazon","Health & Household","6163","Vitamin C Supplements","52","Diet & Sports Nutrition","624","2","4","AMZ","$115,347.24","6,027","https://www.amazon.com/dp/B0013OUNK4","https://m.media-amazon.com/images/I/71+55RcYbIL._AC_UL320_.jpg","false","false","2","2026-01-27T23:55:18.414Z"
"B0CQKF5J8Q","Organic Vitamin C | Whole Food Vitamin C from Fruit Plus Absorption Enhancing Cofactors - Vegan, Enhanced Bioavailability - Immune Support, Antioxidant, Total Health (90 Servings)","$23.99","4.7","691","USA","Health & Household","9829","Vitamin C Supplements","91","","","4","1","FBA","$100,262.68","4,179","https://www.amazon.com/dp/B0CQKF5J8Q","https://m.media-amazon.com/images/I/91fY-p5EJpL._AC_UL320_.jpg","true","true","2","2026-01-27T23:55:18.414Z"
"B0FP68NR1J","Mega Dose Pure Vitamin C 1000 mg 180 Easy-to-Swallow Veg Capsules by CGM Labs","$18.00","4.4","26","USA","Health & Household","334154","Vitamin C Supplements","1503","","","1","1","FBA","$271.03","15","https://www.amazon.com/dp/B0FP68NR1J","https://m.media-amazon.com/images/I/51OOyFA0wZL._AC_UL320_.jpg","true","true","2","2026-01-27T23:55:18.415Z"
"B087JYZWFK","Immune Support Vitamin C 2000 mg - 200 Tablets - with Zinc, Elderberry, Rose Hip, Echinacea - Boosts Immune System- Made in USA","$28.95","4.6","835","USA","Health & Household","20092","Elderberry Herbal Supplements","73","","","1","1","FBA","$61,720.89","2,132","https://www.amazon.com/dp/B087JYZWFK","https://m.media-amazon.com/images/I/81fq3LQUL-L._AC_UL320_.jpg","true","true","2","2026-01-27T23:55:18.415Z"
"B07GPFB6F5","Amazon Basics Kids' Vitamin C 125mg Gummies, Orange, 60 Count, Immune Health, 2 Month Supply (Previously Solimo)","$6.49","4.8","5400","Amazon","Health & Household","6017","Vitamin C Supplements","50","","","2","1","AMZ","$41,815.12","5,448","https://www.amazon.com/dp/B07GPFB6F5","https://m.media-amazon.com/images/I/518tqwwflfL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.151Z"
"B0013H7JOY","NOW Supplements, Vitamin C-500 with Rose Hips, Antioxidant Protection*, 250 Tablets","$8.99","4.8","5900","Amazon","Health & Household","5924","Vitamin C Supplements","49","Sales & Deals","731","3","10","AMZ","$48,738.88","4,862","https://www.amazon.com/dp/B0013H7JOY","https://m.media-amazon.com/images/I/71QO8bbDREL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.151Z"
"B00I689DHY","Nature Made Vitamin C 500 mg, Dietary Vitamin C Supplement for Immune Support, 60 Softgels, 60 Day Supply","$11.19","4.6","2900","Amazon","Health & Household","6438","Vitamin C Supplements","56","","","2","17","AMZ","$76,763.80","5,695","https://www.amazon.com/dp/B00I689DHY","https://m.media-amazon.com/images/I/71g-5HIkwmL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.151Z"
"B000YLLQSA","HALLS Defense Assorted Citrus Vitamin C Drops, Value Pack, 180 Drops","$10.31","4.8","1800","Amazon","Health & Household","6591","Vitamin C Supplements","58","Nutrition Bars & Drinks","70","2","1","AMZ","$59,536.23","5,107","https://www.amazon.com/dp/B000YLLQSA","https://m.media-amazon.com/images/I/71OmyMxkrpL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.152Z"
"B07DR13XSX","DACHA Natural Liposomal Vitamin C - 1700mg, 200 Capsules, Immune System & Collagen Booster, High Absorption Fat Soluble VIT C, Buffered, Skin Vitamins, Vegeterian, Vegan","$20.95","4.7","17700","Canada","Health & Household","6289","Vitamin C Supplements","54","","","1","1","FBA","$100,768.03","4,810","https://www.amazon.com/dp/B07DR13XSX","https://m.media-amazon.com/images/I/81uw5qWAmTL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.152Z"
"B0CV955VMM","NatureWise Extra Strength Vitamin C Chewable 1000mg for Adults - Natural Orange Flavor - Immune System & Antioxidant Support - Non-GMO, Vegan & Sugar Free - 90 Chewable Tablets[45-Day Supply]","$11.99","4.4","744","Amazon","Health & Household","6949","Vitamin C Supplements","62","","","3","1","AMZ","$62,134.05","5,532","https://www.amazon.com/dp/B0CV955VMM","https://m.media-amazon.com/images/I/714T70W2FML._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.152Z"
"B000GG87V2","Nature's Bounty Vitamin C 500mg, Supports a Healthy Immune System, Daily Vitamin Supplement, 250 Vegetarian Tablets","","4.7","55800","Unknown","Health & Household","6444","Vitamin C Supplements","57","Sales & Deals","809","10","8","AMZ","$201,737.88","8,665","https://www.amazon.com/dp/B000GG87V2","https://m.media-amazon.com/images/I/61-aU1swfkL._AC_UL320_.jpg","false","false","3","2026-01-27T23:57:54.153Z"
"B07CNFJPCY","MaryRuth Organics Vegan Vitamin C Gummies | 2 Month Supply | Immune Support Supplement for Adults & Kids | Chewable Vitamin C Gummy Vitamins | Non-GMO | Pectin Based | 60 Count","$19.95","4.7","4000","USA","Health & Household","7115","Vitamin C Supplements","64","","","1","3","FBA","$95,765.64","4,845","https://www.amazon.com/dp/B07CNFJPCY","https://m.media-amazon.com/images/I/81mNBn5MR4L._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.153Z"
"B0CX8Q4MHK","Emergen-C Zero Sugar 1000 mg Vitamin C Powder for Daily Immune Support Caffeine Free Vitamin C Supplements with Zinc and Manganese, B Vitamins and Electrolytes, Raspberry Lemonade Flavor - 36 Count","$22.29","4.6","715","Amazon","Health & Household","6063","Vitamin C Supplements","51","","","3","1","AMZ","$145,377.41","5,574","https://www.amazon.com/dp/B0CX8Q4MHK","https://m.media-amazon.com/images/I/81PU6yAwCGL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.153Z"
"B000OP6VY0","American Health Ester-C with Citrus Bioflavonoids Capsules - Gentle On Stomach, Non-Acidic Vitamin C - 500 mg, 60 Servings, 120 Count","$13.29","4.8","8200","Amazon","Health & Household","4475","Vitamin C Supplements","37","","","2","11","AMZ","$146,738.19","8,814","https://www.amazon.com/dp/B000OP6VY0","https://m.media-amazon.com/images/I/7153J4DmWiL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.153Z"
"B0CQ6FQWCL","Pure Encapsulations Liposomal Vitamin C - Immune Support Supplement* - Antioxidant Nourishment - Daily Vitamin - Non-GMO & Gluten Free - 120 Capsules","$34.60","4.8","201","USA","Health & Household","7426","Vitamin C Supplements","66","","","2","1","FBA","$94,907.44","2,743","https://www.amazon.com/dp/B0CQ6FQWCL","https://m.media-amazon.com/images/I/71VjBD0d72L._AC_UL320_.jpg","false","false","3","2026-01-27T23:57:54.154Z"
"B0CX8X2NC1","Emergen-C Zero Sugar Immune Support Adult Gummies 36 Count","$12.99","4.6","863","Amazon","Health & Household","7435","Vitamin C Supplements","67","","","1","1","AMZ","$64,787.20","4,847","https://www.amazon.com/dp/B0CX8X2NC1","https://m.media-amazon.com/images/I/81i7VRhAyIL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.154Z"
"B01ACACE4M","Nordic Naturals Vitamin C Gummies, Tart Tangerine - 120 Gummies - 250 mg Vitamin C - Immune Support, Antioxidant Protection, Child Growth & Development - Non-GMO, Vegan - 60 Servings","$19.51","4.7","3600","USA","Health & Household","6199","Vitamin C Supplements","53","","","3","4","FBA","$101,926.73","5,626","https://www.amazon.com/dp/B01ACACE4M","https://m.media-amazon.com/images/I/51eVaBZ-fkL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.155Z"
"B07ZRTG2HS","Vitamin C Gummies 1000mg – Chewable Multivitamin for Adults & Kids with Zinc for Immune & Collagen Support – Maximum Strength, Natural Orange Flavor – Gluten Free, Non-GMO, Vegetarian – 60 Gummies","$16.95","4.4","2700","USA","Health & Household","6765","Vitamin C Supplements","60","","","2","1","FBA","$76,480.34","4,512","https://www.amazon.com/dp/B07ZRTG2HS","https://m.media-amazon.com/images/I/713mdHzjHAL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.155Z"
"B0101Q5ZD4","Emergen-C Chewable Vitamin C 1000mg, With B Vitamins And Antioxidants Tablet (40 Count, Orange Blast Flavor), Dietary Supplement","$12.99","4.7","3800","Amazon","Health & Household","7742","Vitamin C Supplements","68","Sales & Deals","903","1","9","AMZ","$61,189.08","4,711","https://www.amazon.com/dp/B0101Q5ZD4","https://m.media-amazon.com/images/I/71fC2L7d7EL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.155Z"
"B003VDBGHY","L’il Critters Immune C Daily Gummy Supplement Vitamin for Kids, for Vitamin C, D and Zinc for Immune Support, Orange, Lemon, Strawberry and Cherry Flavors, 190 Gummies (Packaging May Vary)","$10.98","4.4","6800","Amazon","Health & Household","8348","Vitamin C Supplements","72","Sales & Deals","963","2","2","AMZ","$51,855.94","4,723","https://www.amazon.com/dp/B003VDBGHY","https://m.media-amazon.com/images/I/7153g+VL-vL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.156Z"
